,ANOING,SEMING,INGRESSO,INGRESSODESC,COTA,GRANDEAREA,GRANDEAREATEXTO,ETNIA,SEXO,CAMPUS,TURNO,NOMECURSO,SITUACAO,MOTIVOSAIDA,DEFICIENCIA,POSSUIDEFICIENCIA,CAMPUSSIGLA
53508,2020,1,SISU,SISU - GRUPO A,Grupo A,CSA,CIÊNCIAS SOCIAIS APLICADAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,"RÁDIO, TV E INTERNET - 91A",ATIVO,A Especificar,Não Informada,Não,JF
53518,2023,2,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,FILOSOFIA - 08B,ATIVO,A Especificar,Não Informada,Não,JF
53522,2019,2,SISU,SISU - GRUPO D,Grupo D,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
53533,2019,1,VAGA OCIOSA,Mudança de Curso,Não se aplica,ECC,ENGENHARIAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,ENGENHARIA DE PRODUÇÃO - 49A,ATIVO,A Especificar,Não Informada,Não,JF
53558,2024,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM ARTES E DESIGN,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,CINEMA E AUDIOVISUAL - 66B,ATIVO,A Especificar,Não Informada,Não,JF
53560,2025,2,VAGA OCIOSA,Reinscrição ao Curso de Origem,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LIN,ATIVO,A Especificar,Não Informada,Não,JF
53567,2019,2,SISU,SISU - GRUPO A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53593,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53595,2019,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53598,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53599,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53604,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53608,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53628,2023,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS SOCIAIS - 73CB,ATIVO,A Especificar,Não Informada,Não,JF
53635,2025,1,VAGA OCIOSA,Mudança de Curso,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
53643,2025,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS SOCIAIS - 73CL,ATIVO,A Especificar,Não Informada,Não,JF
53651,2023,2,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS SOCIAIS - 73CL,ATIVO,A Especificar,Não Informada,Não,JF
53656,2019,1,SISU,SISU - GRUPO E,Grupo E,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
53668,2019,1,SISU,SISU - GRUPO C VG Edital,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS ECONÔMICAS - 51A,ATIVO,A Especificar,Não Informada,Não,JF
53728,2024,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM ARTES E DESIGN,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM MODA - 66E,ATIVO,A Especificar,Não Informada,Não,JF
53733,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,NUTRIÇÃO - 64A,ATIVO,A Especificar,Não Informada,Não,JF
53773,2019,1,VESTIBULAR,Vestibular,Grupo D,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MÚSICA - 63A,ATIVO,A Especificar,Não Informada,Não,JF
53837,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,ABI - FILOSOFIA - 08ABI,ATIVO,A Especificar,Não Informada,Não,JF
53845,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
53864,2019,1,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,GEOGRAFIA - 27L,ATIVO,A Especificar,Não Informada,Não,JF
53868,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
53869,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
53893,2020,1,SISU,SISU - GRUPO A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
53896,2019,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
53899,2020,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FISIOTERAPIA - 20A,ATIVO,Abandono,Não Informada,Não,JF
53902,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
53929,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,ECC,ENGENHARIAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENGENHARIA ELÉTRICA - ROBÓTICA E AUTOMAÇÃO INDUSTRIAL - 65I,ATIVO,A Especificar,Não Informada,Não,JF
53938,2024,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM ARTES E DESIGN,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 66D,ATIVO,A Especificar,Não Informada,Não,JF
53948,2019,2,SISU,SISU - GRUPO A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,FISIOTERAPIA - 20A,ATIVO,A Especificar,Não Informada,Não,JF
53952,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,ECC,ENGENHARIAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,ENGENHARIA DE PRODUÇÃO - 49A,ATIVO,A Especificar,Não Informada,Não,JF
53954,2026,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,ABI - CIÊNCIAS SOCIAIS - 73C,ATIVO,A Especificar,Não Informada,Não,JF
53967,2020,1,SISU,SISU - grupo E - mudança de curso,Grupo E,CB,CIÊNCIAS BIOLÓGICAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS BIOLÓGICAS - 01L,ATIVO,A Especificar,Não Informada,Não,JF
53976,2019,2,SISU,SISU - grupo B - mudança de curso,Grupo B,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM ARTES VISUAIS - 94A,ATIVO,A Especificar,Não Informada,Não,JF
53983,2023,2,SISU,SISU - GRUPO C VG Edital,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LPO,ATIVO,A Especificar,Não Informada,Não,JF
53986,2026,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73BL,ATIVO,A Especificar,Não Informada,Não,JF
54003,2019,2,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,TURISMO - 93A,ATIVO,A Especificar,Não Informada,Não,JF
54005,2019,2,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,TURISMO - 93A,ATIVO,A Especificar,Não Informada,Não,JF
54008,2019,2,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,TURISMO - 93A,ATIVO,A Especificar,Não Informada,Não,JF
54049,2024,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
54054,2019,2,SISU,SISU - GRUPO E,Grupo E,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,DIREITO - 04A,ATIVO,A Especificar,Não Informada,Não,JF
54055,2019,2,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,DIREITO - 04A,ATIVO,A Especificar,Não Informada,Não,JF
54081,2019,2,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,TURISMO - 93A,ATIVO,A Especificar,Não Informada,Não,JF
54085,2024,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM ARTES E DESIGN,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 66D,ATIVO,A Especificar,Não Informada,Não,JF
54113,2020,1,SISU,SISU - grupo C - mudança de curso,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM ARTES VISUAIS - 94A,ATIVO,A Especificar,Não Informada,Não,JF
54137,2023,2,SISU,SISU - GRUPO A,Grupo A,ECC,ENGENHARIAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ENGENHARIA MECÂNICA - 65M,ATIVO,A Especificar,Não Informada,Não,JF
54139,2023,2,SISU,SISU - GRUPO A,Grupo A,ECC,ENGENHARIAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,SISTEMAS DE INFORMAÇÃO - 76A,ATIVO,A Especificar,Não Informada,Não,JF
54143,2025,2,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CB,CIÊNCIAS BIOLÓGICAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS BIOLÓGICAS - 01L,ATIVO,A Especificar,Não Informada,Não,JF
54153,2024,2,SISU,SISU - GRUPO A,Grupo A,CET,CIÊNCIAS EXATAS E DA TERRA,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,MATEMÁTICA - 65FL,ATIVO,A Especificar,Não Informada,Não,JF
54199,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 98A,ATIVO,A Especificar,Não Informada,Não,JF
54234,2022,1,SISU,SISU - GRUPO D,Grupo D,ECC,ENGENHARIAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,ENGENHARIA CIVIL - 24A,ATIVO,A Especificar,Não Informada,Não,JF
54242,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
54244,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
54246,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
54283,2020,2,SISU,SISU - GRUPO D,Grupo D,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
54285,2021,2,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS - 73A,ATIVO,A Especificar,Não Informada,Não,JF
54287,2025,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS SOCIAIS - 73CL,ATIVO,A Especificar,Não Informada,Não,JF
54290,2020,1,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
54295,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CH,CIÊNCIAS HUMANAS,OUTRA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
54311,2020,1,SISU,SISU - grupo B - mudança de curso,Grupo B,LLA,"LINGÜÍSTICA, LETRAS E ARTES",OUTRA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 98A,ATIVO,A Especificar,Não Informada,Não,JF
54313,2024,1,SISU,SISU - GRUPO C,Grupo C,CET,CIÊNCIAS EXATAS E DA TERRA,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,QUÍMICA - 65GB,ATIVO,A Especificar,Não Informada,Não,JF
54334,2023,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS SOCIAIS - 73CB,ATIVO,A Especificar,Não Informada,Não,JF
54340,2023,2,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM ARTES E DESIGN,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,CINEMA E AUDIOVISUAL - 66B,ATIVO,A Especificar,Não Informada,Não,JF
54349,2020,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CSA,CIÊNCIAS SOCIAIS APLICADAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
54351,2020,1,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,EDUCAÇÃO FÍSICA - 21B,ATIVO,A Especificar,Não Informada,Não,JF
54352,2026,1,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,EDUCAÇÃO FÍSICA - 21L,ATIVO,A Especificar,Não Informada,Não,JF
54371,2019,2,VAGA OCIOSA,Mudança de Curso,Não se aplica,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,QUÍMICA - 65GB,ATIVO,A Especificar,Não Informada,Não,JF
54372,2019,2,SISU,SISU - GRUPO C,Grupo C,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,QUÍMICA - 83A,ATIVO,A Especificar,Não Informada,Não,JF
54373,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
54374,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
54376,2020,1,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
54378,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
54379,2020,1,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
54382,2020,1,SISU,SISU - GRUPO B,Grupo B,CS,CIÊNCIAS DA SAÚDE,AMARELA,Feminino,JUIZ DE FORA,INTEGRAL,EDUCAÇÃO FÍSICA - 21B,ATIVO,A Especificar,Não Informada,Não,JF
54410,2022,2,SISU,SISU - GRUPO B,Grupo B,ECC,ENGENHARIAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA MECÂNICA - 65AM,ATIVO,A Especificar,Não Informada,Não,JF
54421,2020,1,SISU,SISU - GRUPO D,Grupo D,CET,CIÊNCIAS EXATAS E DA TERRA,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,QUÍMICA - 65G-ABI,ATIVO,A Especificar,Não Informada,Não,JF
54424,2020,1,SISU,SISU - GRUPO C,Grupo C,CET,CIÊNCIAS EXATAS E DA TERRA,OUTRA,Feminino,JUIZ DE FORA,INTEGRAL,QUÍMICA - 65GB,ATIVO,A Especificar,Não Informada,Não,JF
54428,2022,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
54435,2020,1,SISU,SISU - GRUPO D,Grupo D,ECC,ENGENHARIAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,ENGENHARIA CIVIL - 24A,ATIVO,A Especificar,Não Informada,Não,JF
54440,2022,1,SISU,SISU - GRUPO C,Grupo C,ECC,ENGENHARIAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENGENHARIA AMBIENTAL E SANITÁRIA - 67A,ATIVO,A Especificar,Não Informada,Não,JF
54447,2020,1,SISU,SISU - GRUPO B,Grupo B,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ESTATÍSTICA - 65D,ATIVO,A Especificar,Não Informada,Não,JF
54484,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,DIREITO - 34A,ATIVO,A Especificar,Não Informada,Não,JF
54506,2019,2,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,ECC,ENGENHARIAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ENGENHARIA CIVIL - 24A,ATIVO,A Especificar,Não Informada,Não,JF
54507,2020,1,SISU,SISU - GRUPO C,Grupo C,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,QUÍMICA - 65GL,ATIVO,A Especificar,Não Informada,Não,JF
54524,2019,1,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,PEDAGOGIA - 17A,ATIVO,A Especificar,Não Informada,Não,JF
54546,2022,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM ARTES E DESIGN,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CINEMA E AUDIOVISUAL - 66B,ATIVO,A Especificar,Não Informada,Não,JF
54574,2025,1,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,EDUCAÇÃO FÍSICA - 21L,ATIVO,A Especificar,Não Informada,Não,JF
54576,2020,2,SISU,SISU - GRUPO D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,EDUCAÇÃO FÍSICA - 21B,ATIVO,A Especificar,Não Informada,Não,JF
54581,2025,1,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,EDUCAÇÃO FÍSICA - 21L,ATIVO,A Especificar,Não Informada,Não,JF
54584,2024,2,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,EDUCAÇÃO FÍSICA - 21L,ATIVO,A Especificar,Não Informada,Não,JF
54590,2025,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM MODA - 95A,ATIVO,A Especificar,Não Informada,Não,JF
54592,2024,2,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,GEOGRAFIA - 10B,ATIVO,A Especificar,Não Informada,Não,JF
54597,2024,2,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,GEOGRAFIA - 10B,ATIVO,A Especificar,Não Informada,Não,JF
54598,2026,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Transtorno do Espectro Autista,Sim,JF
54601,2024,1,VAGA OCIOSA,Mudança de Curso,Não se aplica,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,NUTRIÇÃO - 64A,ATIVO,A Especificar,Não Informada,Não,JF
54605,2025,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,PEDAGOGIA - 17A,ATIVO,A Especificar,Não Informada,Não,JF
54607,2025,1,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,GEOGRAFIA - 10L,ATIVO,A Especificar,Não Informada,Não,JF
54613,2019,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
54624,2025,1,OUTROS,OPÇÃO SEGUNDO CICLO DO CIÊNCIAS EXATAS,Não se aplica,ECC,ENGENHARIAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIA DA COMPUTAÇÃO - 65C,ATIVO,A Especificar,Não Informada,Não,JF
54627,2019,1,SISU,SISU - GRUPO D,Grupo D,CET,CIÊNCIAS EXATAS E DA TERRA,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,FÍSICA - 65EL,ATIVO,A Especificar,Não Informada,Não,JF
54635,2026,1,OUTROS,Nova Modalidade/Habilitação,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,LETRAS - 13LES/2ª Habilitação,ATIVO,A Especificar,Não Informada,Não,JF
54648,2021,2,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,DIREITO - 04A,ATIVO,A Especificar,Não Informada,Não,JF
