,ANOING,SEMING,INGRESSO,INGRESSODESC,COTA,GRANDEAREA,GRANDEAREATEXTO,ETNIA,SEXO,CAMPUS,TURNO,NOMECURSO,SITUACAO,MOTIVOSAIDA,DEFICIENCIA,POSSUIDEFICIENCIA,CAMPUSSIGLA
14468,2026,1,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,VESPERTINO,BACHARELADO EM CIÊNCIAS SOCIAIS - 103A,ATIVO,A Especificar,Não Informada,Não,JF
14505,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,QUÍMICA - 83A,ATIVO,A Especificar,Não Informada,Não,JF
14558,2020,1,OUTROS,CV/Nova Modalidade/Habilitação,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LETRAS - 13LIN,ATIVO,A Especificar,Não Informada,Não,JF
14735,2024,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,FÍSICA - 81A,ATIVO,A Especificar,Não Informada,Não,JF
14750,2022,2,SISU,SISU - GRUPO A,Grupo A,ECC,ENGENHARIAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA MECÂNICA - 65AM,ATIVO,A Especificar,Não Informada,Não,JF
14788,2025,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73BL,ATIVO,A Especificar,Não Informada,Não,JF
14853,2025,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS SOCIAIS - 73CB,ATIVO,A Especificar,Não Informada,Não,JF
14866,2022,2,OUTROS,Nova Modalidade/Habilitação,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LES,ATIVO,A Especificar,Não Informada,Não,JF
15146,2020,1,SISU,SISU - GRUPO D,Grupo D,ECC,ENGENHARIAS,INDIGENA,Feminino,JUIZ DE FORA,NOTURNO,ENGENHARIA DE PRODUÇÃO - 49A,ATIVO,A Especificar,Não Informada,Não,JF
15299,2022,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
15343,2023,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73B,ATIVO,A Especificar,Não Informada,Não,JF
15364,2024,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
15391,2022,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73B,ATIVO,A Especificar,Não Informada,Não,JF
15403,2021,2,SISU,SISU - GRUPO B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
15424,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
15426,2024,2,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,DIREITO - 04A,ATIVO,A Especificar,Não Informada,Não,JF
15427,2023,2,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,PEDAGOGIA - 30A,ATIVO,A Especificar,Não Informada,Não,JF
15450,2026,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ABI - LETRAS - 13ABI,ATIVO,A Especificar,Não Informada,Não,JF
15513,2025,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
